_id,culture,name,religion,Degree,Deg Cent,Close Cent,Betw Cent,Eigenvector,PageRank
1,swedish,Gårdske,catholic,7.0,0.0009065009065009065,0.1809918528562157,8.19158293495396e-05,3.7579964860934714e-06,0.0001412370239920978
9,lithuanian,Jogailaitis,baltic_pagan,4.0,0.000518000518000518,0.18166321820374468,1.9928078811736e-05,4.659686369820872e-06,9.731574751196495e-05
11,lithuanian,Gediminaitis,baltic_pagan,5.0,0.0006475006475006476,0.19626856799042694,3.111398771505387e-05,5.116928101482162e-05,0.00012485886207788118
17,polish,Branicki,slavic_pagan,30.0,0.0038850038850038854,0.2217962690710188,0.004197595229023575,0.00026881799178117143,0.000771161919706713
18,polish,Borkowic,catholic,1.0,0.0001295001295001295,0.1519240165733948,0.0,4.414701393496087e-08,4.250390562369757e-05
25,polish,Wielkopolski,slavic_pagan,1.0,0.0001295001295001295,0.1665937303451104,0.0,8.347786377841206e-07,3.612679907793396e-05
27,lithuanian,Astikaitis,baltic_pagan,1.0,0.0001295001295001295,0.1704853940715673,0.0,1.9368253787392207e-06,3.6332321744889714e-05
31,lithuanian,Alšeniškis,baltic_pagan,1.0,0.0001295001295001295,0.17499547658775344,0.0,2.4694224550734253e-06,3.457421860141515e-05
36,serbian,Dragutin,slavic_pagan,12.0,0.001554001554001554,0.20827634429066944,0.0012408510999687256,0.00030577095084821193,0.00032103273982484035
42,georgian,Jaqeli,miaphysite,1.0,0.0001295001295001295,0.16493030294690514,0.0,5.30239006557076e-07,3.873702690263709e-05
54,frankish,du Dros,catholic,1.0,0.0001295001295001295,0.15404507587825747,0.0,7.171523087150536e-08,4.025335960292427e-05
55,german,Wittelsbach,catholic,4.0,0.000518000518000518,0.18896786884602082,4.751178205366698e-05,7.476476706744678e-06,8.884471001166431e-05
56,german,von Kärnten,catholic,17.0,0.002201502201502202,0.21845504891245787,0.0018885050999161526,0.0004636655009515609,0.00047586295351908966
61,frankish,de Luxembourg,catholic,1.0,0.0001295001295001295,0.17028779616469483,0.0,8.577724811216508e-07,3.7576049774194105e-05
70,italian,Sormella,catholic,6.0,0.000777000777000777,0.21623826194103898,0.0010270800480684592,0.00010219472168684644,0.00012567690915355213
80,frankish,de Brienne,catholic,6.0,0.000777000777000777,0.21450190890793316,9.785219744751138e-05,0.00011615662453767835,9.6321027825985e-05
81,frankish,d'Anjou,catholic,3.0,0.0003885003885003885,0.1816336679372661,1.3549205448675938e-05,2.948354171998066e-06,7.228250813064635e-05
82,frankish,Chamillart,catholic,3.0,0.0003885003885003885,0.18918558114112313,5.788409137070383e-05,1.2586561260888285e-05,7.140735783850313e-05
83,frankish,de Châtillion,catholic,14.0,0.001813001813001813,0.2181136728935299,0.0008741644539419011,0.00012739418975124263,0.00027765203167488963
84,frankish,d'Avaugour,catholic,7.0,0.0009065009065009065,0.18458823266070506,0.00015493520190663535,4.376905148952683e-06,0.00015244441344855128
85,frankish,de Dreaux,catholic,1.0,0.0001295001295001295,0.16560051269667453,0.0,7.336364962109257e-07,3.6873886806014355e-05
87,german,von Neuenburg,catholic,8.0,0.001036001036001036,0.2074328695915172,0.0006554742894863674,4.877603925037116e-05,0.0001953924443506715
91,occitan,de Rodez,catholic,9.0,0.0011655011655011655,0.18555755401009325,0.00029671777496210523,9.718062537242809e-06,0.00018703879466065455
92,frankish,de Dampierre,catholic,3.0,0.0003885003885003885,0.1659105430761548,0.0,8.267681628230545e-07,6.657234771453314e-05
93,frankish,de Lusignan,catholic,9.0,0.0011655011655011655,0.19954450427305068,0.00048877770319571,3.3676477968680084e-05,0.00028143314678180713
96,frankish,de Gironde,catholic,4.0,0.000518000518000518,0.1889870585964283,2.309428974210486e-05,1.7794579526360507e-05,0.0001476062017980315
100,frankish,d'Artois,catholic,1.0,0.0001295001295001295,0.14672559683203293,0.0,3.272870177172234e-08,4.596211894285264e-05
101,frankish,de Valois,catholic,1.0,0.0001295001295001295,0.15564693852957026,0.0,5.0411956362674416e-08,3.7881377326979177e-05
111,german,von Werle,catholic,5.0,0.0006475006475006476,0.19177191237782726,0.0002741007223960251,1.470589930523883e-05,0.00014722757994578507
112,german,von Mecklemburg,catholic,1.0,0.0001295001295001295,0.18057622372261095,0.0,1.8744471081446326e-06,3.595015989714983e-05
116,german,von Holstein,catholic,2.0,0.000259000259000259,0.18327935411514953,2.614206109013591e-06,9.811421508857218e-06,4.9645256389381436e-05
117,german,von Rendsburg,catholic,1.0,0.0001295001295001295,0.1744868483000183,0.0,3.034801536334628e-06,3.522767812662565e-05
121,swedish,Grip,catholic,2.0,0.000259000259000259,0.15555586874301872,0.0,1.577079980213336e-07,5.113198652858363e-05
125,norwegian,Bolt,catholic,2.0,0.000259000259000259,0.17568933491899066,0.00022022234170919575,1.410345394851624e-06,8.256279009226176e-05
128,swedish,Thornberg,catholic,3.0,0.0003885003885003885,0.1799128539912247,9.117312978297346e-06,1.988358035156826e-06,6.512497962146867e-05
130,swedish,Ribbing,catholic,5.0,0.0006475006475006476,0.17540231495619496,0.0003906290234476114,1.43631738158446e-06,0.0001688116576245675
131,swedish,Bååt,catholic,2.0,0.000259000259000259,0.0,0.0,3.387203130257521e-84,0.00012948336138806163
136,swedish,Ulv,catholic,8.0,0.001036001036001036,0.19169289905770595,0.00048613884776619367,1.4371609983802928e-05,0.00022626452455893362
138,swedish,Färla,catholic,5.0,0.0006475006475006476,0.17893262242983415,2.1470141583545403e-06,1.6653521386599164e-06,8.476937394569631e-05
