_id,culture,name,religion,Degree,Deg Cent,Close Cent,Betw Cent,Eigenvector,PageRank
56,german,von Kärnten,catholic,5.0,0.01984126984126984,0.3182632584806498,0.0011065164545837978,0.018247613293509726,0.003606500920423279
80,frankish,de Brienne,catholic,1.0,0.003968253968253968,0.24306695858419994,0.0,0.0038804876020416697,0.0009868850636350675
84,frankish,d'Avaugour,catholic,1.0,0.003968253968253968,0.003968253968253968,0.0,8.007186832693638e-36,0.003952569169960474
87,german,von Neuenburg,catholic,2.0,0.007936507936507936,0.30066576393590616,0.0,0.015317706310735769,0.00161499836528673
93,frankish,de Lusignan,catholic,1.0,0.003968253968253968,0.003968253968253968,0.0,8.007186832693638e-36,0.003952569169960474
136,swedish,Ulv,catholic,2.0,0.007936507936507936,0.32148889961389965,0.0,0.016463317964198296,0.0015776370328845612
141,swedish,af Rumby,catholic,1.0,0.003968253968253968,0.26881557707828896,0.0,0.0022776161399925042,0.0010785895450970858
199,irish,Ua Néill Noígiallaich,catholic,43.0,0.17063492063492064,0.40929339477726573,0.1010521893845828,0.3568139978004356,0.03833610891550009
200,irish,Ua Murchada,catholic,2.0,0.007936507936507936,0.23879727549740096,2.500819233886963e-05,0.0014750937247685854,0.0017136796547573313
201,irish,Ua Conchobair,catholic,3.0,0.011904761904761904,0.2617901355865592,0.00690106306871655,0.007225177574164734,0.0025262887125649847
246,frisian,Folcwalding,catholic,2.0,0.007936507936507936,0.30209750566893423,0.0,0.019429935063323724,0.0014291763439254332
298,frankish,de Flotte,catholic,1.0,0.003968253968253968,0.23409769811983835,0.0,0.0007945933245496086,0.0013895774983414871
301,frankish,de Champagne,catholic,1.0,0.003968253968253968,0.2964508233199822,0.0,0.014185701824205792,0.0010919328632815468
304,frankish,d'Eu,catholic,1.0,0.003968253968253968,0.23153458463677443,0.0,0.0017857022923430592,0.0010980034896241097
306,frankish,du Perche,catholic,1.0,0.003968253968253968,0.2964508233199822,0.0,0.014185701824205792,0.0010919328632815468
310,breton,de Vitré,catholic,7.0,0.027777777777777776,0.35441606810321896,0.008211375169109395,0.08462032122964301,0.005033970995034621
311,breton,de Cornouaille,catholic,5.0,0.01984126984126984,0.32984649665758853,0.0006956988090112225,0.05912015612803791,0.003108966484932388
315,frankish,de Preuilly,catholic,1.0,0.003968253968253968,0.2964508233199822,0.0,0.05674280729682317,0.0025890753266439733
319,frankish,de Laval,catholic,1.0,0.003968253968253968,0.2964508233199822,0.0,0.028371403648411585,0.0015909803510690222
388,basque,de Vasconia,catholic,1.0,0.003968253968253968,0.2978426112228929,0.0,0.009884533295144654,0.0010342422385375468
404,frankish,de Tilly,catholic,2.0,0.007936507936507936,0.3089633580705009,0.0005910163872909017,0.011670235587487714,0.0015393603526675853
415,frankish,de Hainault,catholic,1.0,0.003968253968253968,0.23153458463677443,0.0,0.0017857022923430592,0.0010980034896241097
502,norse,af Munsö,norse_pagan,1.0,0.003968253968253968,0.2452595729013255,0.0,0.004376961814842234,0.0010150437062202444
544,frankish,de Soissons,catholic,1.0,0.003968253968253968,0.23409769811983835,0.0,0.0007945933245496086,0.0013895774983414871
546,scottish,Mac Ragnaill,catholic,3.0,0.011904761904761904,0.2582380306260903,0.0012969311442086993,0.0045730589307221405,0.002401251893876242
547,welsh,Morgannwg,catholic,7.0,0.027777777777777776,0.35244708994708995,0.0008000359032040201,0.09815479523756876,0.005242346626347903
548,welsh,Mathrafal,catholic,10.0,0.03968253968253968,0.36955617198335644,0.0045472601983005435,0.14624818605954712,0.008618463171218933
551,irish,Mac Murchada,catholic,18.0,0.07142857142857142,0.33685208596713023,0.011420227546495998,0.1196329482582348,0.010661879094654709
552,irish,Lorc,lollard,1.0,0.003968253968253968,0.2575391455635028,0.0,0.0041136053566055205,0.0010126441597989673
556,irish,Crovan,catholic,1.0,0.003968253968253968,0.003968253968253968,0.0,8.007186832693638e-36,0.003952569169960474
562,saxon,of Durham,catholic,3.0,0.011904761904761904,0.30066576393590616,0.007369664499978438,0.015214308180880598,0.0027165137225142197
565,saxon,of Canterbury,catholic,10.0,0.03968253968253968,0.36741588527302815,0.011544004665057853,0.11964058421119773,0.008223060179858122
636,greek,Monomachos,orthodox,1.0,0.003968253968253968,0.23295156495890892,0.0,0.0006413420243232864,0.0011791288791942254
691,irish,Ua Néill Móir,catholic,5.0,0.01984126984126984,0.27149989810474834,0.0003031601714420192,0.019477671103953965,0.002892377016210013
693,irish,Mac Máil na mBó,catholic,29.0,0.11507936507936507,0.3590970350404313,0.06298164747340879,0.1315525182110014,0.025303837338770313
694,irish,Ua Tuathail,catholic,2.0,0.007936507936507936,0.2987777528593855,0.0,0.013765357916869175,0.0014711325464326326
712,frankish,d'Archiac,catholic,1.0,0.003968253968253968,0.2551225584067407,0.0,0.0038589279091786476,0.0011068906344970262
814,saxon,of Northumbria,catholic,7.0,0.027777777777777776,0.36114123068582277,0.006799440189716141,0.0666510228932419,0.005512799822689977
816,welsh,Alt Clut,catholic,2.0,0.007936507936507936,0.2987777528593855,0.00036386124889255196,0.01593351601058063,0.0015249899290529232
819,irish,Dál Fiatach,catholic,28.0,0.1111111111111111,0.3724489795918367,0.03612443111339876,0.29427897794352575,0.02602138830413255
821,norse,Ulfing,norse_pagan,1.0,0.003968253968253968,0.23409769811983835,0.0,0.0007945933245496086,0.0013895774983414871
1004,swedish,Boberg,catholic,1.0,0.003968253968253968,0.26881557707828896,0.0,0.0022776161399925042,0.0010785895450970858
