_id,culture,name,religion,Degree,Deg Cent,Close Cent,Betw Cent,Eigenvector,PageRank
1,swedish,Gårdske,catholic,30.0,0.0030991735537190084,0.24956071454127873,0.002087006687631735,2.9027506963804743e-05,0.00032781497933677146
4,frankish,Fournier,catholic,4.0,0.00041322314049586776,0.21470956521225787,1.7189491366314143e-06,3.380811274977469e-06,4.101148999469378e-05
9,lithuanian,Jogailaitis,baltic_pagan,6.0,0.0006198347107438016,0.23961352742256242,2.2730191192259387e-07,5.650342537217512e-05,4.986975164140173e-05
11,lithuanian,Gediminaitis,baltic_pagan,24.0,0.0024793388429752063,0.25526798717592,0.0005811559828633692,0.00031990817312760924,0.0003042247878458838
17,polish,Branicki,slavic_pagan,49.0,0.00506198347107438,0.2619172046553413,0.0012366039758951385,0.0004223645928021222,0.000505961993875812
18,polish,Borkowic,catholic,4.0,0.00041322314049586776,0.20162391685089556,3.733123999575791e-06,5.709019967537939e-07,4.813788866462805e-05
26,polish,Opolski,slavic_pagan,1.0,0.00010330578512396694,0.00010330578512396694,0.0,2.5874597382358034e-128,0.00010329511414110113
27,lithuanian,Astikaitis,baltic_pagan,10.0,0.0010330578512396695,0.24278625521967642,0.00019358989767990822,7.889819412053997e-05,0.00012955974686086453
31,lithuanian,Alšeniškis,baltic_pagan,1.0,0.00010330578512396694,0.21011048375249858,0.0,4.7909897888978915e-06,2.0000009619064448e-05
34,serbian,Kotromanic,bogomilist,1.0,0.00010330578512396694,0.20571937956026698,0.0,5.500506643888651e-06,2.0263698958695727e-05
36,serbian,Dragutin,slavic_pagan,25.0,0.0025826446280991736,0.2592467205886546,0.0016988045160764643,0.0003040354532443513,0.00028824515687641986
41,bulgarian,Shishman,orthodox,1.0,0.00010330578512396694,0.00010330578512396694,0.0,2.5874597382358034e-128,0.00010329511414110113
42,georgian,Jaqeli,miaphysite,1.0,0.00010330578512396694,0.00010330578512396694,0.0,2.5874597382358034e-128,0.00010329511414110113
43,armenian,Bagratuni,orthodox,1.0,0.00010330578512396694,0.24981998685594953,0.0,0.001616015300236288,1.9222467480469913e-05
46,greek,Kantakouzenos,orthodox,2.0,0.00020661157024793388,0.18947264767757227,1.936033042044719e-07,7.309240470659009e-07,2.9299995775798493e-05
52,german,von Diepholz,catholic,1.0,0.00010330578512396694,0.00010330578512396694,0.0,2.5874597382358034e-128,0.00010329511414110113
54,frankish,du Dros,catholic,8.0,0.0008264462809917355,0.21412506137107448,0.0002093831003691683,5.666087983974503e-06,9.689152225510767e-05
55,german,Wittelsbach,catholic,16.0,0.001652892561983471,0.2150387229084287,0.00027684319061176946,2.6051433907021906e-06,0.00017793927010961857
56,german,von Kärnten,catholic,56.0,0.005785123966942148,0.24564198053791614,0.0025534269778648574,8.466416657686394e-05,0.0006214478308767677
61,frankish,de Luxembourg,catholic,4.0,0.00041322314049586776,0.1878738651514629,1.0633811995006134e-06,1.1831741205213797e-07,4.3751864894319346e-05
70,italian,Sormella,catholic,18.0,0.001859504132231405,0.2606921551601438,0.0005976190439503578,0.0003882716264142977,0.00019957812437943517
80,frankish,de Brienne,catholic,9.0,0.0009297520661157025,0.2117385915565584,7.697787714320039e-06,3.3946201777577933e-06,9.394545151544903e-05
81,frankish,d'Anjou,catholic,2.0,0.00020661157024793388,0.18609998092141522,1.215264071835081e-07,7.37491223640558e-08,3.210882820326961e-05
82,frankish,Chamillart,catholic,9.0,0.0009297520661157025,0.22120497114595325,1.0254228648400034e-05,5.015634182457586e-06,9.283796188847739e-05
83,frankish,de Châtillion,catholic,49.0,0.00506198347107438,0.24335489061965307,0.002581259796034198,9.298770512342335e-05,0.0007181357011338706
84,frankish,d'Avaugour,catholic,20.0,0.002066115702479339,0.2471060670363218,0.002992590507400207,0.00026910477282853683,0.0002328009105292481
87,german,von Neuenburg,catholic,32.0,0.003305785123966942,0.23095374817348818,0.0006529572233865798,1.6333908075841316e-05,0.0002876199820670814
89,frankish,de Clermont,catholic,1.0,0.00010330578512396694,0.20459913789206474,0.0,4.6458448551411963e-07,2.2050904724860344e-05
